0 1 2
0 1 36
0 2 3
0 3 4
0 4 5
0 5 6
0 6 7
0 7 8
0 8 9
0 9 10
0 10 11
0 11 12
0 12 13
0 13 14
0 14 15
0 15 16
0 16 17
0 17 18
0 18 19
0 19 20
0 20 21
0 21 22
0 22 23
0 23 24
0 24 25
0 25 26
0 26 27
0 27 28
0 28 29
0 29 30
0 30 31
0 31 32
0 32 33
0 33 34
0 34 35
0 35 36
1 2 38
1 36 37
1 37 38
2 3 39
2 38 39
3 4 40
3 39 40
4 5 41
4 40 41
5 6 42
5 41 42
6 7 43
6 42 43
7 8 44
7 43 44
8 9 45
8 44 45
9 10 46
9 45 46
10 11 47
10 46 47
11 12 48
11 47 48
12 13 49
12 48 49
13 14 50
13 49 50
14 15 51
14 50 51
15 16 52
15 51 52
16 17 53
16 52 53
17 18 54
17 53 54
18 19 55
18 54 55
19 20 56
19 55 56
20 21 57
20 56 57
21 22 58
21 57 58
22 23 59
22 58 59
23 24 60
23 59 60
24 25 61
24 60 61
25 26 62
25 61 62
26 27 63
26 62 63
27 28 64
27 63 64
28 29 65
28 64 65
29 30 66
29 65 66
30 31 67
30 66 67
31 32 68
31 67 68
32 33 69
32 68 69
33 34 70
33 69 70
34 35 71
34 70 71
35 36 72
35 71 72
36 37 72
37 38 74
37 72 73
37 73 74
38 39 75
38 74 75
39 40 76
39 75 76
40 41 77
40 76 77
41 42 78
41 77 78
42 43 79
42 78 79
43 44 80
43 79 80
44 45 81
44 80 81
45 46 82
45 81 82
46 47 83
46 82 83
47 48 84
47 83 84
48 49 85
48 84 85
49 50 86
49 85 86
50 51 87
50 86 87
51 52 88
51 87 88
52 53 89
52 88 89
53 54 90
53 89 90
54 55 91
54 90 91
55 56 92
55 91 92
56 57 93
56 92 93
57 58 94
57 93 94
58 59 95
58 94 95
59 60 96
59 95 96
60 61 97
60 96 97
61 62 98
61 97 98
62 63 99
62 98 99
63 64 100
63 99 100
64 65 101
64 100 101
65 66 102
65 101 102
66 67 103
66 102 103
67 68 104
67 103 104
68 69 105
68 104 105
69 70 106
69 105 106
70 71 107
70 106 107
71 72 108
71 107 108
72 73 108
73 74 110
73 108 109
73 109 110
74 75 111
74 110 111
75 76 112
75 111 112
76 77 113
76 112 113
77 78 114
77 113 114
78 79 115
78 114 115
79 80 116
79 115 116
80 81 117
80 116 117
81 82 118
81 117 118
82 83 119
82 118 119
83 84 120
83 119 120
84 85 121
84 120 121
85 86 122
85 121 122
86 87 123
86 122 123
87 88 124
87 123 124
88 89 125
88 124 125
89 90 126
89 125 126
90 91 127
90 126 127
91 92 128
91 127 128
92 93 129
92 128 129
93 94 130
93 129 130
94 95 131
94 130 131
95 96 132
95 131 132
96 97 133
96 132 133
97 98 134
97 133 134
98 99 135
98 134 135
99 100 136
99 135 136
100 101 137
100 136 137
101 102 138
101 137 138
102 103 139
102 138 139
103 104 140
103 139 140
104 105 141
104 140 141
105 106 142
105 141 142
106 107 143
106 142 143
107 108 144
107 143 144
108 109 144
109 110 146
109 144 145
109 145 146
110 111 147
110 146 147
111 112 148
111 147 148
112 113 149
112 148 149
113 114 150
113 149 150
114 115 151
114 150 151
115 116 152
